#qw,qx,qy,qz,rx,ry,rz
0.580352,-0.266816,0.322819,-0.698419,0.409725,-0.234750,-0.160478
0.270162,-0.596359,0.624046,-0.426539,0.606420,-0.096968,0.785635
-0.439515,0.646242,-0.544145,0.305130,0.018296,-0.638572,0.642128
0.210948,-0.494092,0.799793,-0.267779,0.642046,-0.203268,0.916526
0.573518,-0.245350,0.560038,-0.545196,0.018683,-0.342718,0.113301
0.599264,-0.473678,0.298832,-0.572024,0.520283,-0.625398,0.186603
0.663167,-0.251911,0.349080,-0.612285,0.448309,-0.254279,-0.043217
0.553254,-0.713699,0.294922,-0.312355,0.443520,-0.789377,0.715658
0.617873,-0.232333,0.354620,-0.662193,0.630353,-0.353687,-0.016562
-0.341907,0.111776,-0.358594,0.861404,0.383459,0.041621,-0.066283
0.313472,-0.143093,0.745267,-0.570821,0.268203,0.173104,0.442695
-0.466699,0.761881,-0.350558,0.280782,0.638107,-0.604493,0.944471
0.226664,-0.651719,0.649274,-0.319887,0.280779,-0.247064,0.931746
0.598655,-0.539974,0.383811,-0.450255,0.414750,-0.390507,0.236311
-0.377476,0.738601,-0.488013,0.271704,0.548057,-0.483331,0.882913
0.573896,-0.645864,0.471276,-0.177205,0.599808,-0.906187,0.430935
0.333609,-0.365758,0.799789,-0.339505,0.190001,-0.216039,0.491724
-0.441686,0.657457,-0.407418,0.454614,0.576635,-0.460877,0.634458
0.564942,-0.374841,0.391248,-0.622302,0.483631,-0.214738,-0.134223
-0.485929,0.750520,-0.334114,0.298261,0.574753,-0.709173,0.496708
