#qw,qx,qy,qz,rx,ry,rz
0.782500,-0.481442,0.170486,-0.356112,0.715327,-1.117808,0.310734
0.387167,-0.259533,0.419434,-0.778176,0.413959,-0.233856,0.044790
0.737199,-0.459144,0.349315,-0.351582,0.350307,-0.925450,0.205317
0.699635,-0.472399,0.329988,-0.422434,0.338585,-0.737412,-0.048415
-0.476765,0.573509,-0.574279,0.336388,0.382848,-0.353268,0.524706
-0.411637,0.478024,-0.332088,0.699860,0.306419,-0.019791,0.113954
0.554823,-0.449121,0.238914,-0.657600,0.536508,-0.427433,0.153052
-0.311370,0.291595,-0.658847,0.619591,0.501740,-0.075622,0.114719
0.573420,-0.576525,0.418310,-0.404719,0.418867,-0.793275,0.377721
0.309535,-0.496846,0.676776,-0.446396,0.086370,-0.220454,0.752147
-0.195211,0.645716,-0.700873,0.231481,0.624941,-0.373911,0.812231
-0.542297,0.418535,-0.380230,0.620839,0.515710,-0.148732,0.463809
0.228470,-0.222448,0.708885,-0.629126,0.480719,0.229829,0.480938
0.182114,-0.268824,0.830976,-0.451448,0.590763,0.036694,0.824881
0.643529,-0.450253,0.293431,-0.544968,0.238828,-0.654560,0.062986
-0.151440,0.346381,-0.586508,0.716146,0.464799,0.256260,0.335303
0.588834,-0.439254,0.531448,-0.421745,0.522430,-0.745037,0.048023
0.873452,-0.341521,0.104768,-0.330706,0.646097,-0.873426,-0.305108
-0.410190,0.409146,-0.288320,0.762347,0.393257,-0.294012,0.089218
0.347042,-0.595658,0.687557,-0.227850,0.298016,-0.433202,0.728456
